,Unnamed: 0,PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare
0,0,1,0,3,0,22.0,1,0,7.25
1,1,2,1,1,1,38.0,1,0,71.2833
2,2,3,1,3,1,26.0,0,0,7.925
3,3,4,1,1,1,35.0,1,0,53.1
4,4,5,0,3,0,35.0,0,0,8.05
5,5,6,0,3,0,,0,0,8.4583
6,6,7,0,1,0,54.0,0,0,51.8625
7,7,8,0,3,0,2.0,3,1,21.075
8,8,9,1,3,1,27.0,0,2,11.1333
9,9,10,1,2,1,14.0,1,0,30.0708
10,10,11,1,3,1,4.0,1,1,16.7
11,11,12,1,1,1,58.0,0,0,26.55
12,12,13,0,3,0,20.0,0,0,8.05
13,13,14,0,3,0,39.0,1,5,31.275
14,14,15,0,3,1,14.0,0,0,7.8542
15,15,16,1,2,1,55.0,0,0,16.0
16,16,17,0,3,0,2.0,4,1,29.125
17,17,18,1,2,0,,0,0,13.0
18,18,19,0,3,1,31.0,1,0,18.0
19,19,20,1,3,1,,0,0,7.225
20,20,21,0,2,0,35.0,0,0,26.0
21,21,22,1,2,0,34.0,0,0,13.0
22,22,23,1,3,1,15.0,0,0,8.0292
23,23,24,1,1,0,28.0,0,0,35.5
24,24,25,0,3,1,8.0,3,1,21.075
25,25,26,1,3,1,38.0,1,5,31.3875
26,26,27,0,3,0,,0,0,7.225
27,27,28,0,1,0,19.0,3,2,263.0
28,28,29,1,3,1,,0,0,7.8792
29,29,30,0,3,0,,0,0,7.8958
30,30,31,0,1,0,40.0,0,0,27.7208
31,31,32,1,1,1,,1,0,146.5208
32,32,33,1,3,1,,0,0,7.75
33,33,34,0,2,0,66.0,0,0,10.5
34,34,35,0,1,0,28.0,1,0,82.1708
35,35,36,0,1,0,42.0,1,0,52.0
36,36,37,1,3,0,,0,0,7.2292
37,37,38,0,3,0,21.0,0,0,8.05
38,38,39,0,3,1,18.0,2,0,18.0
39,39,40,1,3,1,14.0,1,0,11.2417
40,40,41,0,3,1,40.0,1,0,9.475
41,41,42,0,2,1,27.0,1,0,21.0
42,42,43,0,3,0,,0,0,7.8958
43,43,44,1,2,1,3.0,1,2,41.5792
44,44,45,1,3,1,19.0,0,0,7.8792
45,45,46,0,3,0,,0,0,8.05
46,46,47,0,3,0,,1,0,15.5
47,47,48,1,3,1,,0,0,7.75
48,48,49,0,3,0,,2,0,21.6792
49,49,50,0,3,1,18.0,1,0,17.8
50,50,51,0,3,0,7.0,4,1,39.6875
51,51,52,0,3,0,21.0,0,0,7.8
52,52,53,1,1,1,49.0,1,0,76.7292
53,53,54,1,2,1,29.0,1,0,26.0
54,54,55,0,1,0,65.0,0,1,61.9792
55,55,56,1,1,0,,0,0,35.5
56,56,57,1,2,1,21.0,0,0,10.5
57,57,58,0,3,0,28.5,0,0,7.2292
58,58,59,1,2,1,5.0,1,2,27.75
59,59,60,0,3,0,11.0,5,2,46.9
60,60,61,0,3,0,22.0,0,0,7.2292
61,61,62,1,1,1,38.0,0,0,80.0
62,62,63,0,1,0,45.0,1,0,83.475
63,63,64,0,3,0,4.0,3,2,27.9
64,64,65,0,1,0,,0,0,27.7208
65,65,66,1,3,0,,1,1,15.2458
66,66,67,1,2,1,29.0,0,0,10.5
67,67,68,0,3,0,19.0,0,0,8.1583
68,68,69,1,3,1,17.0,4,2,7.925
69,69,70,0,3,0,26.0,2,0,8.6625
70,70,71,0,2,0,32.0,0,0,10.5
71,71,72,0,3,1,16.0,5,2,46.9
72,72,73,0,2,0,21.0,0,0,73.5
73,73,74,0,3,0,26.0,1,0,14.4542
74,74,75,1,3,0,32.0,0,0,56.4958
75,75,76,0,3,0,25.0,0,0,7.65
76,76,77,0,3,0,,0,0,7.8958
77,77,78,0,3,0,,0,0,8.05
78,78,79,1,2,0,0.83,0,2,29.0
79,79,80,1,3,1,30.0,0,0,12.475
80,80,81,0,3,0,22.0,0,0,9.0
81,81,82,1,3,0,29.0,0,0,9.5
82,82,83,1,3,1,,0,0,7.7875
83,83,84,0,1,0,28.0,0,0,47.1
84,84,85,1,2,1,17.0,0,0,10.5
85,85,86,1,3,1,33.0,3,0,15.85
86,86,87,0,3,0,16.0,1,3,34.375
87,87,88,0,3,0,,0,0,8.05
88,88,89,1,1,1,23.0,3,2,263.0
89,89,90,0,3,0,24.0,0,0,8.05
90,90,91,0,3,0,29.0,0,0,8.05
91,91,92,0,3,0,20.0,0,0,7.8542
92,92,93,0,1,0,46.0,1,0,61.175
93,93,94,0,3,0,26.0,1,2,20.575
94,94,95,0,3,0,59.0,0,0,7.25
95,95,96,0,3,0,,0,0,8.05
96,96,97,0,1,0,71.0,0,0,34.6542
97,97,98,1,1,0,23.0,0,1,63.3583
98,98,99,1,2,1,34.0,0,1,23.0
99,99,100,0,2,0,34.0,1,0,26.0
100,100,101,0,3,1,28.0,0,0,7.8958
101,101,102,0,3,0,,0,0,7.8958
102,102,103,0,1,0,21.0,0,1,77.2875
103,103,104,0,3,0,33.0,0,0,8.6542
104,104,105,0,3,0,37.0,2,0,7.925
105,105,106,0,3,0,28.0,0,0,7.8958
106,106,107,1,3,1,21.0,0,0,7.65
107,107,108,1,3,0,,0,0,7.775
108,108,109,0,3,0,38.0,0,0,7.8958
109,109,110,1,3,1,,1,0,24.15
110,110,111,0,1,0,47.0,0,0,52.0
